,Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and Country
573,1905,2.0,Volcán En Escudo,False,True,Savai'i (Samoa)
574,1918,4.0,Volcán Subglacial,True,True,Katla (Iceland)
575,1944,2.0,Estratovolcán,False,True,Stromboli (Italy)
576,1952,2.0,Volcán Submarino,False,True,Myojun Knoll (Japan)
577,1955,4.0,Cono Piroclástico,True,True,Carran-Los Venados (Chile)
578,1961,3.0,Estratovolcán,True,True,Merapi (Indonesia)
579,1975,3.0,Estratovolcán,True,True,Arenal (Costa Rica)
580,1980,3.0,Estratovolcán,True,True,Hekla (Iceland)
581,1981,2.0,Estratovolcán,True,True,Paluweh (Indonesia)
582,1988,,Volcán Complejo,True,True,Akita-Yake-yama (Japan)
583,1991,2.0,Volcán En Escudo,True,True,Karthala (Comoros)
584,1994,3.0,Estratovolcán,True,True,Merapi (Indonesia)
585,1995,1.0,Estratovolcán,True,True,Yake-dake (Japan)
586,2002,,Estratovolcán,False,True,Stromboli (Italy)
587,2003,3.0,Estratovolcán,False,True,Soufriere Hills (Montserrat)
588,2010,3.0,Estratovolcán,True,True,Tungurahua (Ecuador)
589,2018,2.0,Estratovolcán,True,True,Fuego (Guatemala)
590,-1050,6.0,Estratovolcán,True,True,Pinatubo (Philippines)
591,764,4.0,Estratovolcán,True,True,Sakura-jima (Japan)
592,766,3.0,Estratovolcán,False,False,Sakura-jima (Japan)
593,1760,4.0,Estratovolcán,True,True,Makian (Indonesia)
594,1766,4.0,Estratovolcán,True,True,Hekla (Iceland)
595,1790,4.0,Volcán En Escudo,True,True,Kilauea (United States)
596,1803,2.0,Volcán Complejo,True,True,Asama (Japan)
597,1813,2.0,Volcán Complejo,False,True,Vesuvius (Italy)
598,1825,3.0,Estratovolcán,True,True,Shishaldin (United States)
599,1869,2.0,Estratovolcán,True,True,Lamongan (Indonesia)
600,1883,,Caldera,False,True,Krakatau (Indonesia)
601,1900,2.0,Volcán Complejo,True,True,Asama (Japan)
